Character,Gender,Alive?,Title,Forename,Surname,Birth name,Alias,Screentime
"Lord Yohn Royce, Bronze Yohn",male,alive,Lord / Lady,Yohn,Royce,unknown,Bronze Yohn,0
Ser Denys Mallister,male,alive,Ser,Denys,Mallister,unknown,none,0
Jeyne Poole,female,alive,Civilian,Jeyne,Poole,unknown,none,0
Jacks,male,dead,Civilian,Jacks,unknown,unknown,none,0
Porther,male,dead,Civilian,Porther,unknown,unknown,none,0
"Tomard, Fat Tom",male,dead,Civilian,Tomard,unknown,unknown,Fat Tom,3
Syrio Forel,male,dead,Civilian,Syrio,Forel,unknown,none,7
"King Aegon III Targaryen, Dragonbane/The Younger",male,dead,King / Queen,Aegon,Targaryen,unknown,Dragonbane/The Younger,0
King Maekar I Targaryen,male,dead,King / Queen,Maekar,Targaryen,unknown,none,0
Maester Colemon,male,alive,Maester,Colemon,unknown,unknown,none,0
King Jaehaerys II Targaryen,male,dead,King / Queen,Jaehaerys,Targaryen,unknown,none,0
"King Aegon V Targaryen, The Fortunate/The Unlikely",male,dead,King / Queen,Aegon,Targaryen,unknown,The Fortunate/The Unlikely,0
Grand Maester Malleon,male,dead,Grand Maester,Malleon,unknown,unknown,none,0
"Ser Hugh, Of the Vale",male,dead,Ser,Hugh,unknown,unknown,Of the Vale,0
Rast,male,dead,Civilian,Rast,unknown,unknown,none,0
Albett,male,alive,Civilian,Albett,unknown,unknown,none,0
Samwell Tarly,male,alive,Civilian,Samwell,Tarly,unknown,none,144
Lord Randyll Tarly,male,alive,Lord / Lady,Randyll,Tarly,unknown,none,10
"Qhorin, Halfhand",male,dead,Civilian,Qhorin,unknown,unknown,Halfhand,0
Lord Mathis Rowan,male,alive,Lord / Lady,Mathis,Rowan,unknown,none,0
Janos Slynt,male,dead,Civilian,Janos,Slynt,unknown,none,0
"Lann, The Clever",male,dead,Civilian,Lann,unknown,unknown,The Clever,0
Lady Margaery Tyrell,female,alive,Lord / Lady,Margaery,Tyrell,unknown,none,78
Varly,male,dead,Civilian,Varly,unknown,unknown,none,0
"Lord Beric Dondarrion, The Lightning Lord",male,dead,Lord / Lady,Beric,Dondarrion,unknown,The Lightning Lord,25
Tobho Mott,male,alive,Civilian,Tobho,Mott,unknown,none,0
Gendry,male,alive,Civilian,Gendry,unknown,unknown,none,39
Masha Heddle,female,dead,Civilian,Masha,Heddle,unknown,none,0
Lord Jason Mallister,male,alive,Lord / Lady,Jason,Mallister,unknown,none,0
Patrek Mallister,male,alive,Civilian,Patrek,Mallister,unknown,none,0
Lady Shella Whent,female,dead,Lord / Lady,Shella,Whent,unknown,none,0
"Lord Walder Frey, The Late Lord Frey",male,alive,Lord / Lady,Walder,Frey,unknown,The Late Lord Frey,16
Marillion,male,dead,Civilian,Marillion,unknown,unknown,none,0
"Alia, Of Braavos",female,alive,Civilian,Alia,unknown,unknown,Of Braavos,0
Lord Jonos Bracken,male,alive,Lord / Lady,Jonos,Bracken,unknown,none,0
"Ser Gregor Clegane, The Mountain that Rides",male,dead,Ser,Gregor,Clegane,unknown,The Mountain that Rides,24
"Thoros, Of Myr",male,alive,Civilian,Thoros,unknown,unknown,Of Myr,26
Ser Balon Swann,male,alive,Ser,Balon,Swann,unknown,none,1
Lord Bryce Caron,male,dead,Lord / Lady,Bryce,Caron,unknown,none,1
Ser Andar Royce,male,alive,Ser,Andar,Royce,unknown,none,1
Ser Robar Royce,male,dead,Ser,Robar,Royce,unknown,none,1
"Ser Horas Redwyne, Horror",male,alive,Ser,Horas,Redwyne,unknown,Horror,1
"Ser Hobber Redwyne, Slobber",male,alive,Ser,Hobber,Redwyne,unknown,Slobber,1
Ser Jared Frey,male,dead,Ser,Jared,Frey,unknown,none,1
Ser Hosteen Frey,male,alive,Ser,Hosteen,Frey,unknown,none,1
Ser Danwell Frey,male,alive,Ser,Danwell,Frey,unknown,none,1
Ser Emmon Frey,male,alive,Ser,Emmon,Frey,unknown,none,1
Ser Theo Frey,male,dead,Ser,Theo,Frey,unknown,none,1
Martyn Rivers,male,dead,Civilian,Martyn,Rivers,unknown,none,1
Jalabhar Xho,male,alive,Civilian,Jalabhar,Xho,unknown,none,1
Lothor Brune,male,alive,Civilian,Lothor,Brune,unknown,none,1
Moon Boy,male,alive,Civilian,Moon Boy,unknown,unknown,none,1
Lancel Lannister,male,alive,Civilian,Lancel,Lannister,unknown,none,1
Dacks,male,dead,Civilian,Dacks,unknown,unknown,none,1
Anguy,male,dead,Civilian,Anguy,unknown,unknown,none,1
Cayn,male,dead,Civilian,Cayn,unknown,unknown,none,1
Chiggen,male,dead,Civilian,Chiggen,unknown,unknown,none,1
Bronn,male,alive,Civilian,Bronn,unknown,unknown,none,75
Mohor,male,dead,Civilian,Mohor,unknown,unknown,none,0
Ser Willis Wode,male,alive,Ser,Willis,Wode,unknown,none,0
Kurleket,male,dead,Civilian,Kurleket,unknown,unknown,none,0
Lharys,male,dead,Civilian,Lharys,unknown,unknown,none,0
Godwyn,male,dead,Civilian,Godwyn,unknown,unknown,none,0
Lord Roose Bolton,male,alive,Lord / Lady,Roose,Bolton,unknown,none,30
Lady Tanda Stokeworth,female,dead,Lord / Lady,Tanda,Stokeworth,unknown,none,0
Ser Donnel Waynwood,male,alive,Ser,Donnel,Waynwood,unknown,none,0
Lord Nestor Royce,male,alive,Lord / Lady,Nestor,Royce,unknown,none,0
Mya Stone,female,alive,Civilian,Mya,Stone,unknown,none,0
Mychel Redfort,male,alive,Civilian,Mychel,Redfort,unknown,none,0
Ser Lyn Corbray,male,alive,Ser,Lyn,Corbray,unknown,none,0
Ser Vardis Egen,male,dead,Ser,Vardis,Egen,unknown,none,0
Heward,male,dead,Civilian,Heward,unknown,unknown,none,0
Wyl,male,dead,Civilian,Wyl,unknown,unknown,none,0
Chataya,female,alive,Civilian,Chataya,unknown,unknown,none,0
Barra,female,dead,Civilian,Barra,unknown,unknown,none,0
Lady Selyse Baratheon (Florent),female,alive,Lord / Lady,Selyse,Baratheon,Florent,none,0
Tregar,male,dead,Civilian,Tregar,unknown,unknown,none,0
Joseth,male,dead,Civilian,Joseth,unknown,unknown,none,0
Kyra,female,dead,Civilian,Kyra,unknown,unknown,none,0
Bessa,female,dead,Civilian,Bessa,unknown,unknown,none,0
Stiv,male,dead,Civilian,Stiv,unknown,unknown,none,0
Hali,female,dead,Civilian,Hali,unknown,unknown,none,0
Osha,female,alive,Civilian,Osha,unknown,unknown,none,0
Farlen,male,dead,Civilian,Farlen,unknown,unknown,none,0
Quent,male,dead,Civilian,Quent,unknown,unknown,none,0
Wallen,male,dead,Civilian,Wallen,unknown,unknown,none,0
Wayn,male,dead,Civilian,Wayn,unknown,unknown,none,0
Mord,male,alive,Civilian,Mord,unknown,unknown,none,0
Ser Albar Royce,male,alive,Ser,Albar,Royce,unknown,none,0
Lord Eon Hunter,male,dead,Lord / Lady,Eon,Hunter,unknown,none,0
Lady Anya Waynwood,female,alive,Lord / Lady,Anya,Waynwood,unknown,none,0
Martyn Cassel,male,dead,Civilian,Martyn,Cassel,unknown,none,0
Theo Wull,male,dead,Civilian,Theo,Wull,unknown,none,0
Ethan Glover,male,dead,Civilian,Ethan,Glover,unknown,none,0
Ser Mark Ryswell,male,dead,Ser,Mark,Ryswell,unknown,none,0
Lord Willam Dustin,male,dead,Lord / Lady,Willam,Dustin,unknown,none,0
Ser Oswell Whent,male,dead,Ser,Oswell,Whent,unknown,none,0
Alyssa Arryn,female,dead,Civilian,Alyssa,Arryn,unknown,none,0
Lord Clement Piper,male,alive,Lord / Lady,Clement,Piper,unknown,none,0
Ser Morton Waynwood,male,alive,Ser,Morton,Waynwood,unknown,none,0
Gueren,male,alive,Civilian,Gueren,unknown,unknown,none,0
"Matthar, Ser Loon",male,alive,Civilian,Matthar,unknown,unknown,Ser Loon,0
"Hobb, Three-finger",male,alive,Civilian,Hobb,unknown,unknown,Three-finger,0
Cuger,male,alive,Civilian,Cuger,unknown,unknown,none,0
Clydas,male,alive,Civilian,Clydas,unknown,unknown,none,0
Chett,male,dead,Civilian,Chett,unknown,unknown,none,0
"Gunthor, Son of Gurn",male,alive,Civilian,Gunthor,unknown,unknown,Son of Gurn,0
Gurn,male,dead,Civilian,Gurn,unknown,unknown,none,0
"Shagga, Son of Dolf",male,alive,Civilian,Shagga,unknown,unknown,Son of Dolf,0
Dolf,male,dead,Civilian,Dolf,unknown,unknown,none,0
"Conn, Son of Coratt",male,dead,Civilian,Conn,unknown,unknown,Son of Coratt,0
Coratt,male,dead,Civilian,Coratt,unknown,unknown,none,0
Torrek,male,alive,Civilian,Torrek,unknown,unknown,none,0
Jaggot,male,alive,Civilian,Jaggot,unknown,unknown,none,0
Ser Karyl Vance,male,alive,Ser,Karyl,Vance,unknown,none,0
Ser Arys Oakheart,male,dead,Ser,Arys,Oakheart,unknown,none,0
Joss,male,alive,Civilian,Joss,unknown,unknown,none,0
Ser Marq Piper,male,alive,Ser,Marq,Piper,unknown,none,0
Ser Gladden Wylde,male,dead,Ser,Gladden,Wylde,unknown,none,0
Lord Lothar Mallery,male,dead,Lord / Lady,Lothar,Mallery,unknown,none,0
Jonquil,female,dead,Civilian,Jonquil,unknown,unknown,none,0
"Ser Florian, The Fool",male,dead,Ser,Florian,unknown,unknown,The Fool,0
Tya Lannister,female,dead,Civilian,Tya,Lannister,unknown,none,0
Gowen Baratheon,male,dead,Civilian,Gowen,Baratheon,unknown,none,0
Khal Ogo,male,dead,Khal,Ogo,unknown,unknown,none,0
Khalakka Fogo,male,dead,Khalakka,Fogo,unknown,unknown,none,0
Khal Jommo,male,alive,Khal,Jommo,unknown,unknown,none,0
Ser Preston Greenfield,male,dead,Ser,Preston,Greenfield,unknown,none,0
Ser Kevan Lannister,male,dead,Ser,Kevan,Lannister,unknown,none,0
Captain Qos,male,alive,Captain,Qos,unknown,unknown,none,0
Septon Cellador,male,alive,Septon,Cellador,unknown,unknown,none,0
Othell Yarwyck,male,alive,Civilian,Othell,Yarwyck,unknown,none,0
Borcas,male,alive,Civilian,Borcas,unknown,unknown,none,0
Dickon Tarly,male,alive,Civilian,Dickon,Tarly,unknown,none,0
Dywen,male,dead,Civilian,Dywen,unknown,unknown,none,0
Ser Mandon Moore,male,dead,Ser,Mandon,Moore,unknown,none,0
Othor,male,dead,Civilian,Othor,unknown,unknown,none,0
Lady Shella,female,dead,Lord / Lady,Shella,unknown,unknown,none,0
Jafer Flowers,male,dead,Civilian,Jafer,Flowers,unknown,none,0
Bass,male,dead,Civilian,Bass,unknown,unknown,none,0
Hake,male,dead,Civilian,Hake,unknown,unknown,none,0
Ketter,male,dead,Civilian,Ketter,unknown,unknown,none,0
Lord Rickard Karstark,male,dead,Lord / Lady,Rickard,Karstark,unknown,none,0
Harrion Karstark,male,alive,Civilian,Harrion,Karstark,unknown,none,0
Eddard Karstark,male,dead,Civilian,Eddard,Karstark,unknown,none,0
Torrhen Karstark,male,dead,Civilian,Torrhen,Karstark,unknown,none,0
Lord Medger Cerwyn,male,dead,Lord / Lady,Medger,Cerwyn,unknown,none,0
Lord Robin Flint,male,dead,Lord / Lady,Robin,Flint,unknown,none,0
Robett Glover,male,alive,Civilian,Robett,Glover,unknown,none,0
Lord Halys Hornwood,male,dead,Lord / Lady,Halys,Hornwood,unknown,none,0
"Lord Jon Umber, Greatjon",male,alive,Lord / Lady,Jon,Umber,unknown,Greatjon,0
Captain Byan Votyris,male,alive,Captain,Byan,Votyris,unknown,none,0
Quaro,male,dead,Civilian,Quaro,unknown,unknown,none,0
Rakharo,male,alive,Civilian,Rakharo,unknown,unknown,none,0
Khal Bharbo,male,dead,Khal,Bharbo,unknown,unknown,none,0
Ser Wylis Manderly,male,alive,Ser,Wylis,Manderly,unknown,none,0
Ser Wendel Manderly,male,dead,Ser,Wendel,Manderly,unknown,none,0
"Chella, Daughter of Cheyk",female,alive,Civilian,Chella,unknown,unknown,Daughter of Cheyk,0
"Ulf, Son of Umar",male,dead,Civilian,Ulf,unknown,unknown,Son of Umar,0
Umar,male,dead,Civilian,Umar,unknown,unknown,none,0
"Timett, Son of Timett",male,alive,Civilian,Timett,unknown,unknown,Son of Timett,0
Timett,male,dead,Civilian,Timett,unknown,unknown,none,0
Ser Flement Brax,male,alive,Ser,Flement,Brax,unknown,none,0
Lord Roland Crakehall,male,alive,Lord / Lady,Roland,Crakehall,unknown,none,0
Lord Tytos Lannister,male,dead,Lord / Lady,Tytos,Lannister,unknown,none,0
Ser Addam Marbrand,male,alive,Ser,Addam,Marbrand,unknown,none,0
Lord Gyles Rosby,male,dead,Lord / Lady,Gyles,Rosby,unknown,none,0
Ser Dontos Hollard,male,dead,Ser,Dontos,Hollard,unknown,none,0
Ser Stevron Frey,male,dead,Ser,Stevron,Frey,unknown,none,0
Lord Tytos Blackwood,male,alive,Lord / Lady,Tytos,Blackwood,unknown,none,0
Prince Doran Martell,male,alive,Prince,Doran,Martell,unknown,none,0
Prince Lewyn Martell,male,dead,Prince,Lewyn,Martell,unknown,none,0
"Princess Rhaenys Targaryen, Rhaegar's daughter",female,dead,Princess,Rhaenys,Targaryen,unknown,Rhaegar's daughter,0
Ser Perwyn Frey,male,alive,Ser,Perwyn,Frey,unknown,none,0
Ryger Rivers,male,dead,Lord / Lady,Ryger,Rivers,unknown,none,0
Olyvar Frey,male,dead,Lord / Lady,Olyvar,Frey,unknown,none,0
Elmar Frey,male,dead,Lord / Lady,Elmar,Frey,unknown,none,0
Ser Endrew Tarth,male,dead,Ser,Endrew,Tarth,unknown,none,0
"Pate, Of the Night's Watch",male,alive,Lord / Lady,Pate,unknown,unknown,Of the Night's Watch,0
Rudge,male,dead,Lord / Lady,Rudge,unknown,unknown,none,0
"King Harren Hoare, The Black",male,dead,King / Queen,Harren,Hoare,unknown,The Black,0
Jhogo,male,alive,Ko,Jhogo,unknown,unknown,none,0
Mago,male,dead,Ko,Mago,unknown,unknown,none,0
Ko Jhaqo,male,alive,Ko,Jhaqo,unknown,unknown,none,0
Mirri Maz Duur,female,dead,Witch,Mirri,Maz Duur,unknown,none,0
"Archmaester Marwyn, Marwyn the Mage",male,alive,Archmaester,Marwyn,unknown,unknown,Marwyn the Mage,0
Lord Leo Lefford,male,dead,Lord / Lady,Leo,Lefford,unknown,none,0
Podrick Payne,male,dead,civilian,Podrick,Payne,unknown,none,0
Shae,female,dead,civilian,Shae,unknown,unknown,none,0
Lord Lewys Lydden,male,dead,Lord / Lady,Lewys,Lydden,unknown,none,0
"Jon Umber, Smalljon",male,dead,Lord / Lady,Jon,Umber,unknown,Smalljon,0
Daryn Hornwood,male,dead,Lord / Lady,Daryn,Hornwood,unknown,none,0
Dacey Mormont,female,dead,Lord / Lady,Dacey,Mormont,unknown,none,0
Lord Gawen Westerling,male,alive,Lord / Lady,Gawen,Westerling,unknown,none,0
Lord Quenten Banefort,male,alive,Lord / Lady,Quenten,Banefort,unknown,none,0
Ser Garth Greenfield,male,alive,Ser,Garth,Greenfield,unknown,none,0
Lord Regenard Estren,male,alive,Lord / Lady,Regenard,Estren,unknown,none,0
Ser Tytos Brax,male,alive,Ser,Tytos,Brax,unknown,none,0
"Mallor, The Dornishman",male,dead,civilian,Mallor,unknown,unknown,The Dornishman,0
Eroeh,female,dead,civilian,Eroeh,unknown,unknown,none,0
Ko Pono,male,alive,Ko,Pono,unknown,unknown,none,0
Buu,unknown,dead,civilian,Buu,unknown,unknown,none,0
"Symeon, Star-Eyes",male,dead,civilian,Symeon,unknown,unknown,Star-Eyes,0
King Jon Stark,male,dead,King / Queen,Jon,Stark,unknown,none,0
King Rickard Stark,male,dead,King / Queen,Rickard,Stark,unknown,none,0
King Theon Stark,male,dead,King / Queen,Theon,Stark,unknown,none,0
"King Brandon Stark, The Shipwright",male,dead,King / Queen,Brandon,Stark,unknown,The Shipwright,0
"King Brandon Stark, The Burner",male,dead,King / Queen,Brandon,Stark,unknown,The Burner,0
King Rodrik Stark,male,dead,King / Queen,Rodrik,Stark,unknown,none,0
"King Torrhen Stark, The King who Knelt",male,dead,King / Queen,Torrhen,Stark,unknown,The King who Knelt,0
Lord Cregan Stark,male,dead,Lord / Lady,Cregan,Stark,unknown,none,1
Ser Harys Swyft,male,alive,Ser,Harys,Swyft,unknown,none,1
Lord Andros Brax,male,dead,Lord / Lady,Andros,Brax,unknown,none,1
Ser Forley Prester,male,alive,Ser,Forley,Prester,unknown,none,1
Vargo Hoat,male,dead,civilian,Vargo,Hoat,unknown,none,1
Ser Amory Lorch,male,dead,Ser,Amory,Lorch,unknown,none,1
Maester Vyman,male,alive,Maester,Vyman,unknown,unknown,none,1
Bethany Rowan (Redwyne),female,alive,Lord / Lady,Bethany,Rowan,Redwyne,none,1
Lord Orys Baratheon,male,dead,Lord / Lady,Orys,Baratheon,unknown,none,1
"King Argilac Durrandon, The Arrogant",male,dead,King / Queen,Argilac,Durrandon,unknown,The Arrogant,1
Lady Shireen Baratheon,female,alive,Lord / Lady,Shireen,Baratheon,unknown,none,1
Tyrek Lannister,male,dead,Lord / Lady,Tyrek,Lannister,unknown,none,1
Lady Joanna Lannister,female,dead,Lord / Lady,Joanna,Lannister,unknown,none,1
Dorna Lannister (Swyft),female,alive,Lord / Lady,Dorna,Lannister,Swyft,none,1
Willem Lannister,male,dead,Lord / Lady,Willem,Lannister,unknown,none,1
Martyn Lannister,male,alive,Lord / Lady,Martyn,Lannister,unknown,none,1
Janei Lannister,female,alive,Civilian,Janei,Lannister,unknown,none,1
Genna Frey (Lannister),female,alive,Civilian,Genna,Frey,Lannister,none,1
Ser Cleos Frey,male,dead,Ser,Cleos,Frey,unknown,none,1
Tion Frey,male,dead,Civilian,Tion,Frey,unknown,none,1
